supplier_name,vol_m,pct_atual,delta_max,n_snapshots,aumentando
BAE BRASIL,152188,38.0,75.3,21,True
ART LIVRE,48701,25.9,56.1,21,True
MALHAS D'STEFANO,26341,0.0,25.2,21,True
Lunelli Nordeste,20000,10.5,,21,False
DDAL,17050,19.5,25.5,21,True
RIZLLEP,17028,2.4,100.0,21,True
MASH,14199,49.5,99.6,21,True
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",12096,11.6,45.4,21,True
ABBA,11747,25.6,30.6,21,True
BY COTTON,10487,7.6,,21,False
RDM,10158,21.4,21.4,21,True
LUNELLI,10002,50.0,50.0,12,True
KABRIOLLI,7797,15.0,,20,False
MAURA,3474,17.5,100.0,21,True
MC & MC,3306,0.0,100.0,21,True
GOAT,3059,0.0,,21,False
DALOP,2360,0.0,25.8,21,True
PIXIE,2138,5.5,50.0,21,True
INDÚSTRIA TEXTIL BETILHA LTDA,1108,0.0,69.7,21,True
ARTIGO X,1044,0.0,,21,False
