supplier_name,mes_label,mes_alvo,vol_original,current_pct_ext_any,peak_pct_ext_any,dias_ate_mes_alvo,antecipacao_d,last_snapshot
MASH,M (2026-04),2026-04,14199,49.5,99.6,-28,23.0,2026-04-27
BAE BRASIL,M (2026-04),2026-04,152188,31.8,97.6,-28,65.0,2026-04-27
MAURA,M (2026-04),2026-04,3474,27.4,100.0,-28,58.0,2026-04-27
ART LIVRE,M (2026-04),2026-04,48701,27.0,71.5,-28,72.0,2026-04-27
ABBA,M (2026-04),2026-04,11747,24.2,45.4,-28,65.0,2026-04-27
RDM,M (2026-04),2026-04,10158,21.4,42.9,-28,16.0,2026-04-27
DDAL,M (2026-04),2026-04,17050,17.5,34.9,-28,65.0,2026-04-27
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",M (2026-04),2026-04,12096,16.8,82.9,-28,30.0,2026-04-27
BY COTTON,M (2026-04),2026-04,10487,14.3,14.3,-28,65.0,2026-04-27
PIXIE,M (2026-04),2026-04,2138,5.5,94.4,-28,37.0,2026-04-27
RIZLLEP,M (2026-04),2026-04,17028,2.4,100.0,-28,107.0,2026-04-27
ARTIGO X,M (2026-04),2026-04,1044,0.0,0.0,-28,,2026-04-27
DALOP,M (2026-04),2026-04,2360,0.0,49.7,-28,16.0,2026-04-27
GOAT,M (2026-04),2026-04,3059,0.0,0.0,-28,,2026-04-27
INDÚSTRIA TEXTIL BETILHA LTDA,M (2026-04),2026-04,1108,0.0,69.7,-28,16.0,2026-04-27
Lunelli Nordeste,M (2026-04),2026-04,20000,0.0,25.0,-28,58.0,2026-04-27
MALHAS D'STEFANO,M (2026-04),2026-04,26341,0.0,25.2,-28,72.0,2026-04-27
MC & MC,M (2026-04),2026-04,3306,0.0,100.0,-28,44.0,2026-04-27
BY COTTON,M+1 (2026-05),2026-05,778,100.0,100.0,2,60.0,2026-04-27
GOAT,M+1 (2026-05),2026-05,1541,100.0,100.0,2,32.0,2026-04-27
KABRIOLLI,M+1 (2026-05),2026-05,2250,100.0,100.0,2,95.0,2026-04-27
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",M+1 (2026-05),2026-05,2005,50.0,50.0,2,25.0,2026-04-27
RDM,M+1 (2026-05),2026-05,10217,26.7,26.7,2,102.0,2026-04-27
DDAL,M+1 (2026-05),2026-05,14834,25.1,25.1,2,32.0,2026-04-27
ABBA,M+1 (2026-05),2026-05,8951,19.7,19.7,2,18.0,2026-04-27
BAE BRASIL,M+1 (2026-05),2026-05,100200,19.3,94.0,2,88.0,2026-04-27
MAURA,M+1 (2026-05),2026-05,7110,17.7,100.0,2,88.0,2026-04-27
ART LIVRE,M+1 (2026-05),2026-05,32113,9.3,71.4,2,67.0,2026-04-27
Lunelli Nordeste,M+1 (2026-05),2026-05,48339,6.2,32.1,2,74.0,2026-04-27
DALOP,M+1 (2026-05),2026-05,9585,3.3,10.6,2,74.0,2026-04-27
RIZLLEP,M+1 (2026-05),2026-05,27679,0.5,100.0,2,88.0,2026-04-27
ARTIGO X,M+1 (2026-05),2026-05,1599,0.0,0.0,2,,2026-04-27
CLARA BELLA,M+1 (2026-05),2026-05,808,0.0,0.0,2,,2026-04-27
Confecções Vanelise Ltda,M+1 (2026-05),2026-05,1158,0.0,0.0,2,,2026-04-27
MALHAS D'STEFANO,M+1 (2026-05),2026-05,3764,0.0,0.0,2,,2026-04-27
MASH,M+1 (2026-05),2026-05,8555,0.0,0.0,2,,2026-04-27
MC & MC,M+1 (2026-05),2026-05,1028,0.0,0.0,2,,2026-04-27
