supplier_name,mes_alvo_M,pct_M,mes_alvo_M1,pct_M1,cascaded,vol_M
ABBA,2026-03,54.2,2026-04,45.4,True,9500
ABBA,2026-04,45.4,2026-05,19.7,False,11747
ART LIVRE,2025-12,58.8,2026-01,92.6,True,36443
ART LIVRE,2026-01,92.6,2026-02,96.7,True,40843
ART LIVRE,2026-02,96.7,2026-03,89.4,True,38321
ART LIVRE,2026-03,89.4,2026-04,71.5,True,47540
ART LIVRE,2026-04,71.5,2026-05,71.4,True,48701
ART LIVRE,2026-05,71.4,2026-06,5.6,False,32113
ARTIGO X,2026-02,74.9,2026-03,49.4,True,8505
ARTIGO X,2026-03,49.4,2026-04,0.0,False,3523
AZZURRA,2025-11,57.4,2025-12,100.0,True,8082
AZZURRA,2025-12,100.0,2026-01,100.0,True,5147
BAE BRASIL,2025-11,70.5,2025-12,91.5,True,233865
BAE BRASIL,2025-12,91.5,2026-01,97.7,True,145462
BAE BRASIL,2026-01,97.7,2026-02,87.8,True,128354
BAE BRASIL,2026-02,87.8,2026-03,81.4,True,135854
BAE BRASIL,2026-03,81.4,2026-04,97.6,True,91727
BAE BRASIL,2026-04,97.6,2026-05,94.0,True,152188
BAE BRASIL,2026-05,94.0,2026-06,100.0,True,100200
BAE BRASIL,2026-06,100.0,2026-07,0.0,False,130146
BY COTTON,2025-11,69.5,2025-12,70.3,True,82752
BY COTTON,2025-12,70.3,2026-01,87.5,True,70384
BY COTTON,2026-01,87.5,2026-02,84.4,True,43119
BY COTTON,2026-02,84.4,2026-03,42.6,True,43479
BY COTTON,2026-03,42.6,2026-04,14.3,False,44761
BY COTTON,2026-05,100.0,2026-06,0.0,False,778
CENTRAL DA MODELAGEM,2025-11,72.8,2025-12,100.0,True,18004
CENTRAL DA MODELAGEM,2025-12,100.0,2026-01,100.0,True,14233
CLARA BELLA,2025-11,58.3,2025-12,100.0,True,3001
CLESTE BRASIL CONFECÇÕES LTDA,2025-11,100.0,2025-12,100.0,True,10385
DALOP,2025-11,92.4,2025-12,57.1,True,7904
DALOP,2025-12,57.1,2026-01,100.0,True,3155
DALOP,2026-01,100.0,2026-02,100.0,True,8511
DALOP,2026-02,100.0,2026-03,100.0,True,7574
DALOP,2026-03,100.0,2026-04,49.7,True,1692
DALOP,2026-04,49.7,2026-05,10.6,False,2360
DDAL,2025-11,100.0,2025-12,48.4,True,2616
DDAL,2025-12,48.4,2026-01,25.0,False,19563
DDAL,2026-02,100.0,2026-03,56.2,True,10253
DDAL,2026-03,56.2,2026-04,34.9,True,15037
DDAL,2026-04,34.9,2026-05,25.1,False,17050
FABIO,2025-12,76.3,2026-01,100.0,True,22884
FABIO,2026-01,100.0,2026-02,100.0,True,10801
GOAT,2025-11,69.3,2025-12,100.0,True,4585
GOAT,2025-12,100.0,2026-01,0.0,False,3909
GOAT,2026-03,53.8,2026-04,0.0,False,2694
GOAT,2026-05,100.0,2026-06,0.0,False,1541
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",2026-02,100.0,2026-03,42.5,True,6436
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",2026-03,42.5,2026-04,82.9,True,5643
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",2026-04,82.9,2026-05,50.0,True,12096
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",2026-05,50.0,2026-06,0.0,False,2005
INDÚSTRIA TEXTIL BETILHA LTDA,2026-02,47.6,2026-03,100.0,True,2334
INDÚSTRIA TEXTIL BETILHA LTDA,2026-03,100.0,2026-04,69.7,True,500
INDÚSTRIA TEXTIL BETILHA LTDA,2026-06,50.0,2026-07,0.0,False,1000
INTERTEXTIL,2025-11,100.0,2025-12,100.0,True,51698
INTERTEXTIL,2025-12,100.0,2026-01,100.0,True,29250
INTERTEXTIL,2026-01,100.0,2026-02,100.0,True,11592
KABRIOLLI,2025-11,100.0,2025-12,100.0,True,3202
LATINA,2026-01,100.0,2026-02,100.0,True,9035
LUTESTIL,2025-11,53.3,2025-12,100.0,True,58915
LUTESTIL,2025-12,100.0,2026-01,100.0,True,39436
LUTESTIL,2026-01,100.0,2026-02,100.0,True,18377
Lunelli Nordeste,2026-05,32.1,2026-06,0.0,False,48339
MASH,2026-04,99.6,2026-05,0.0,False,14199
MAURA,2025-11,38.4,2025-12,0.0,False,13186
MAURA,2026-01,70.1,2026-02,100.0,True,6538
MAURA,2026-02,100.0,2026-03,91.5,True,9305
MAURA,2026-03,91.5,2026-04,100.0,True,6288
MAURA,2026-04,100.0,2026-05,100.0,True,3474
MAURA,2026-05,100.0,2026-06,100.0,True,7110
MAURA,2026-06,100.0,2026-07,0.0,False,8840
MC & MC,2025-11,79.5,2025-12,28.7,False,11689
MC & MC,2026-01,45.3,2026-02,0.0,False,2278
MC & MC,2026-03,87.3,2026-04,100.0,True,2200
MC & MC,2026-04,100.0,2026-05,0.0,False,3306
NATURAL COMPANY CONFECCOES LTDA,2026-01,100.0,2026-02,100.0,True,17663
NOVA FORMULA,2025-12,74.9,2026-01,100.0,True,6680
NOVA FORMULA,2026-01,100.0,2026-02,0.0,False,10466
PIXIE,2025-11,75.3,2025-12,52.5,True,17540
PIXIE,2025-12,52.5,2026-01,100.0,True,6970
PIXIE,2026-01,100.0,2026-02,100.0,True,8774
PIXIE,2026-02,100.0,2026-03,37.6,True,5781
PIXIE,2026-03,37.6,2026-04,94.4,True,4431
PIXIE,2026-06,34.8,2026-07,0.0,False,3838
RDM,2025-12,74.1,2026-01,100.0,True,8713
RDM,2026-01,100.0,2026-02,14.0,False,325
RDM,2026-03,69.5,2026-04,42.9,True,9670
RDM,2026-04,42.9,2026-05,26.7,False,10158
RIZLLEP,2025-11,31.6,2025-12,66.6,True,43483
RIZLLEP,2025-12,66.6,2026-01,53.1,True,36108
RIZLLEP,2026-01,53.1,2026-02,0.0,False,10493
RIZLLEP,2026-03,100.0,2026-04,100.0,True,22500
RIZLLEP,2026-04,100.0,2026-05,100.0,True,17028
RIZLLEP,2026-05,100.0,2026-06,99.9,True,27679
RIZLLEP,2026-06,99.9,2026-07,38.0,True,25025
WARUSKY,2025-12,100.0,2026-01,100.0,True,4650
