supplier_name,vol_original,vol_ext_any,vol_ext_date_rev,vol_ext_cancel,vol_int_any,pct_ext_sobre_orig,pct_int_sobre_orig,cum_pct_vol_ext,rank
BAE BRASIL,443346,95765,74034,21731,279845,21.6,63.1,50.6,1
ART LIVRE,133958,28059,14071,14488,92618,20.9,69.1,65.4,2
DDAL,64853,12820,4454,8366,36773,19.8,56.7,72.2,3
MAURA,19902,10422,10422,0,5791,52.4,29.1,77.7,4
BY COTTON,24331,8268,778,7490,14308,34.0,58.8,82.1,5
MASH,30237,7028,7028,0,22754,23.2,75.3,85.8,6
ABBA,44059,6108,4526,1582,16250,13.9,36.9,89.0,7
RDM,30503,4907,2177,2730,15730,16.1,51.6,91.6,8
RIZLLEP,80268,4551,551,4000,69161,5.7,86.2,94.0,9
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",22123,3040,2019,1021,16621,13.7,75.1,95.6,10
KABRIOLLI,8486,2250,0,2250,0,26.5,0.0,96.8,11
AZZURRA,1996,1996,0,1996,0,100.0,0.0,97.9,12
GOAT,7114,1541,1541,0,3059,21.7,43.0,98.7,13
PIXIE,10510,1452,1452,0,3107,13.8,29.6,99.5,14
MC & MC,6610,1029,0,1029,6610,15.6,100.0,100.0,15
DALOP,25125,0,0,0,13019,0.0,51.8,100.0,16
INDÚSTRIA TEXTIL BETILHA LTDA,4499,0,0,0,1272,0.0,28.3,100.0,17
Lunelli Nordeste,104953,0,0,0,70339,0.0,67.0,100.0,18
MALHAS D'STEFANO,39115,0,0,0,33068,0.0,84.5,100.0,19
Confecções Vanelise Ltda,3474,0,0,0,3474,0.0,100.0,100.0,20
CLARA BELLA,3888,0,0,0,804,0.0,20.7,100.0,21
ARTIGO X,4982,0,0,0,783,0.0,15.7,100.0,22
T Christina,800,0,0,0,0,0.0,0.0,100.0,23
