order_code,status,production_stage,supplier_id,supplier_alias,supplier_legal_name,cycle_name,sc_supplier_name,current_production_stages,dt_min_entry_warehouse,dt_planned_entry_warehouse,dt_reviewed_entry_warehouse,planned_quantity_op,received_quantity_op,planned_production_delivery_date,expected_production_delivery_date,expected_fabric_receiving_date,real_fabric_receiving_date,fabric_receiving_delay_days,mp_to_expected_production_end_lead_time_days,is_mp_late,is_mp_to_expected_end_lt_45_days,quality_supplier_name,audit_count,dt_first_audit_completed,first_audit_result_standardized,first_audit_deliberation_standardized,first_audit_defective_rate,pieces_rejected_in_first_audit_insider,is_quality_rejected,is_quality_rejected_delivery_authorized,is_quality_rejected_correct_reaudit,quality_query_execution_date
OPF74N268,items_delivery_and_invoicing,items_delivery_and_invoicing,16,DDAL,DDAL CONFECCOES LTDA,EPA0901,DDAL,items_delivery_and_invoicing,,2026-04-27,2026-04-27,1099,,2026-04-27,2026-04-27,2026-03-04,2026-03-23,19,35,true,true,DDAL,1,2026-04-21,qualita_rejected,insider_approved,0.09523809523809523,0,true,true,false,2026-04-27
OPF74N230,items_delivery_and_invoicing,items_delivery_and_invoicing,16,DDAL,DDAL CONFECCOES LTDA,C032026,DDAL,items_delivery_and_invoicing,,2026-04-27,2026-04-24,2000,,2026-04-27,2026-04-24,2026-01-12,2026-01-26,14,88,true,false,DDAL,1,2026-03-25,qualita_rejected,insider_approved,0.27419354838709675,0,true,true,false,2026-04-27
OPF74N251,items_delivery_and_invoicing,items_delivery_and_invoicing,16,DDAL,DDAL CONFECCOES LTDA,C042026,DDAL,items_delivery_and_invoicing,,2026-04-13,2026-04-24,1981,,2026-04-13,2026-04-24,2026-02-10,2026-02-18,8,65,true,false,DDAL,1,2026-04-17,qualita_approved,insider_no_deliberation,0.0,0,false,false,false,2026-04-27
OPF74N290,cut_fabric_and_sewing_process,cut_fabric_and_sewing_process,16,DDAL,DDAL CONFECCOES LTDA,INS3001,DDAL,cut_fabric_and_sewing_process,,2026-04-27,2026-05-18,1230,,2026-04-27,2026-05-18,2026-03-20,2026-04-14,25,34,true,true,,,,,,,,,,,
OPF74N272,cut_fabric_and_sewing_process,cut_fabric_and_sewing_process,16,DDAL,DDAL CONFECCOES LTDA,C052026,DDAL,cut_fabric_and_sewing_process,,2026-04-13,2026-05-04,1036,,2026-04-13,2026-05-04,2026-03-20,2026-03-30,10,35,true,true,,,,,,,,,,,
OPF74N248,finished,finished,16,DDAL,DDAL CONFECCOES LTDA,EPA0512,DDAL,finished,,2026-03-16,2026-03-20,1002,,2026-03-16,2026-03-20,2026-01-23,2026-01-23,0,56,false,false,DDAL,1,2026-03-04,qualita_rejected,insider_approved,0.23684210526315788,0,true,true,false,2026-04-27
OPF74N286,items_delivery_and_invoicing,items_delivery_and_invoicing,16,DDAL,DDAL CONFECCOES LTDA,EPA2201,DDAL,items_delivery_and_invoicing,,2026-04-17,2026-04-17,1599,,2026-04-17,2026-04-17,2026-03-04,2026-02-09,-23,67,false,false,DDAL,1,2026-04-14,qualita_approved,insider_no_deliberation,0.0,0,false,false,false,2026-04-27
OPF74N224,items_delivery_and_invoicing,items_delivery_and_invoicing,16,DDAL,DDAL CONFECCOES LTDA,C022026,DDAL,items_delivery_and_invoicing,,2026-04-27,2026-04-24,754,,2026-04-27,2026-04-24,,,,,,,DDAL,2,2026-03-25,qualita_rejected,insider_rejected,0.13157894736842105,616,true,false,true,2026-04-27
OPF74N238,items_delivery_and_invoicing,items_delivery_and_invoicing,16,DDAL,DDAL CONFECCOES LTDA,C032026,DDAL,items_delivery_and_invoicing,,2026-04-24,2026-04-24,224,,2026-04-24,2026-04-24,,,,,,,DDAL,1,2026-04-21,qualita_rejected,insider_approved,0.6190476190476191,0,true,true,false,2026-04-27
OPF74N216,items_delivery_and_invoicing,items_delivery_and_invoicing,16,DDAL,DDAL CONFECCOES LTDA,C022026,DDAL,items_delivery_and_invoicing,,2026-04-20,2026-04-24,607,,2026-04-20,2026-04-24,,,,,,,DDAL,1,2026-04-17,qualita_rejected,insider_approved,0.8888888888888888,0,true,true,false,2026-04-27
