supplier_name,mediana_dias,p25,p75,n_ciclos,pct_acima_45d
ABBA,34,16.75,53.0,4,50
ART LIVRE,52,27.0,69.5,7,57
ARTIGO X,-4,-10.0,-0.75,4,0
AZZURRA,26,10.0,43.0,4,25
BAE BRASIL,52,23.75,73.75,8,50
BY COTTON,54,33.75,68.5,8,62
CENTRAL DA MODELAGEM,21,6.0,36.5,3,33
CLARA BELLA,-1,-12.0,10.0,2,0
CLESTE BRASIL CONFECÇÕES LTDA,-1,-5.0,3.0,2,0
DALOP,20,3.5,63.0,7,43
DDAL,40,19.75,52.25,8,50
FABIO,52,29.5,53.5,3,67
FITMAX,52,52.0,52.0,1,100
GOAT,26,13.5,34.25,4,0
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",28,20.25,38.0,4,25
"Gordon And Smith Confecção, Comércio e Serviços de Serigrafia - LTDA",52,52.0,52.0,1,100
HENRIQUE,21,21.0,21.0,1,0
INDÚSTRIA TEXTIL BETILHA LTDA,11,4.25,31.25,4,25
INTERTEXTIL,36,13.5,58.0,4,50
KABRIOLLI,7,-8.0,51.0,3,33
LATINA,57,54.5,59.5,2,100
LUTESTIL,33,-4.0,54.5,4,50
Lunelli Nordeste,66,62.0,70.0,2,100
MAC CLEM,6,-1.5,13.5,2,0
MALHAS D'STEFANO,10,-5.25,19.0,6,17
MASH,23,23.0,23.0,1,0
MAURA,58,46.5,75.0,7,71
MC & MC,-5,-66.5,36.25,6,17
NATURAL COMPANY CONFECCOES LTDA,54,52.75,54.25,2,100
NOVA FORMULA,7,-1.0,29.5,3,33
PIXIE,27,13.5,41.0,7,29
RDM,31,18.5,76.0,7,43
RIZLLEP,84,32.0,92.5,8,62
TOP SPORT,21,21.0,21.0,1,0
WARUSKY,36,28.75,44.25,2,50
