snapshot_week,mes_alvo_str,vol_orig,vol_ext,pct_ext,delta_pct_ext
2025-11-10,2025-11,709871,165377,23.3,
2025-11-17,2025-11,709871,157255,22.2,-1.1
2025-11-24,2025-11,709871,312134,44.0,21.8
2025-12-01,2025-11,709871,314441,44.3,0.3
2025-12-08,2025-11,709871,322944,45.5,1.2
2025-12-15,2025-11,709871,345722,48.7,3.2
2025-12-22,2025-11,709871,345722,48.7,0.0
2025-12-29,2025-11,709871,345722,48.7,0.0
2026-01-05,2025-11,709871,355157,50.0,1.3
2026-01-12,2025-11,709871,352541,49.7,-0.4
2026-01-19,2025-11,709871,380272,53.6,3.9
2026-01-26,2025-11,709871,379402,53.4,-0.1
2026-02-02,2025-11,709871,379402,53.4,0.0
2026-02-09,2025-11,709871,379402,53.4,0.0
2026-02-16,2025-11,709871,379402,53.4,0.0
2026-02-23,2025-11,709871,377003,53.1,-0.3
2026-03-02,2025-11,709871,392161,55.2,2.1
2026-03-09,2025-11,709871,395979,55.8,0.5
2026-03-16,2025-11,709871,395979,55.8,0.0
2026-03-23,2025-11,709871,395979,55.8,0.0
2026-03-30,2025-11,709871,395979,55.8,0.0
2026-04-06,2025-11,709871,400877,56.5,0.7
2026-04-13,2025-11,709871,400877,56.5,0.0
2026-04-20,2025-11,709871,400877,56.5,0.0
2025-11-10,2025-12,536059,93353,17.4,
2025-11-17,2025-12,536059,178468,33.3,15.9
2025-11-24,2025-12,536059,319357,59.6,26.3
2025-12-01,2025-12,536059,334510,62.4,2.8
2025-12-08,2025-12,536059,344060,64.2,1.8
2025-12-15,2025-12,536059,367587,68.6,4.4
2025-12-22,2025-12,536059,367587,68.6,0.0
2025-12-29,2025-12,536059,367587,68.6,0.0
2026-01-05,2025-12,536059,380883,71.1,2.5
2026-01-12,2025-12,536059,381298,71.1,0.1
2026-01-19,2025-12,536059,395838,73.8,2.7
2026-01-26,2025-12,536059,395838,73.8,0.0
2026-02-02,2025-12,536059,393599,73.4,-0.4
2026-02-09,2025-12,536059,393599,73.4,0.0
2026-02-16,2025-12,536059,393599,73.4,0.0
2026-02-23,2025-12,536059,391548,73.0,-0.4
2026-03-02,2025-12,536059,400652,74.7,1.7
2026-03-09,2025-12,536059,400652,74.7,0.0
2026-03-16,2025-12,536059,400652,74.7,0.0
2026-03-23,2025-12,536059,403153,75.2,0.5
2026-03-30,2025-12,536059,403153,75.2,0.0
2026-04-06,2025-12,536059,399824,74.6,-0.6
2026-04-13,2025-12,536059,397307,74.1,-0.5
2026-04-20,2025-12,536059,397307,74.1,0.0
2025-11-10,2026-01,394640,94668,24.0,
2025-11-17,2026-01,394640,126916,32.2,8.2
2025-11-24,2026-01,394640,249868,63.3,31.2
2025-12-01,2026-01,394640,258897,65.6,2.3
2025-12-08,2026-01,394640,281763,71.4,5.8
2025-12-15,2026-01,394640,286453,72.6,1.2
2025-12-22,2026-01,394640,286453,72.6,0.0
2025-12-29,2026-01,394640,286453,72.6,0.0
2026-01-05,2026-01,394640,290776,73.7,1.1
2026-01-12,2026-01,396201,327325,82.6,8.9
2026-01-19,2026-01,396201,338449,85.4,2.8
2026-01-26,2026-01,396201,335679,84.7,-0.7
2026-02-02,2026-01,396201,339950,85.8,1.1
2026-02-09,2026-01,396201,336938,85.0,-0.8
2026-02-16,2026-01,396201,336938,85.0,0.0
2026-02-23,2026-01,396201,334025,84.3,-0.7
2026-03-02,2026-01,396201,322470,81.4,-2.9
2026-03-09,2026-01,396201,322470,81.4,0.0
2026-03-16,2026-01,396201,322470,81.4,0.0
2026-03-23,2026-01,396201,323501,81.7,0.3
2026-03-30,2026-01,396201,326501,82.4,0.8
2026-04-06,2026-01,396201,326501,82.4,0.0
2026-04-13,2026-01,396201,323784,81.7,-0.7
2026-04-20,2026-01,396201,323784,81.7,0.0
2025-11-10,2026-02,361086,29657,8.2,
2025-11-17,2026-02,361086,37449,10.4,2.2
2025-11-24,2026-02,361086,43899,12.2,1.8
2025-12-01,2026-02,361086,59852,16.6,4.4
2025-12-08,2026-02,361086,67901,18.8,2.2
2025-12-15,2026-02,361086,72182,20.0,1.2
2025-12-22,2026-02,361086,72182,20.0,0.0
2025-12-29,2026-02,361086,72182,20.0,0.0
2026-01-05,2026-02,361086,78090,21.6,1.6
2026-01-12,2026-02,361086,108322,30.0,8.4
2026-01-19,2026-02,361086,192940,53.4,23.4
2026-01-26,2026-02,361086,201541,55.8,2.4
2026-02-02,2026-02,361086,232744,64.5,8.6
