supplier_name,vol_original,vol_ext_date_rev,pct_date_rev_sobre_orig,cum_pct_date_rev,rank
BAE BRASIL,443346,74034,16.7,60.2,1
ART LIVRE,133958,14071,10.5,71.6,2
MAURA,19902,10422,52.4,80.1,3
MASH,30237,7028,23.2,85.8,4
ABBA,44059,4526,10.3,89.5,5
DDAL,64853,4454,6.9,93.1,6
RDM,30503,2177,7.1,94.8,7
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",22123,2019,9.1,96.5,8
GOAT,7114,1541,21.7,97.7,9
PIXIE,10510,1452,13.8,98.9,10
BY COTTON,24331,778,3.2,99.6,11
RIZLLEP,80268,551,0.7,100.0,12
DALOP,25125,0,0.0,100.0,13
Confecções Vanelise Ltda,3474,0,0.0,100.0,14
CLARA BELLA,3888,0,0.0,100.0,15
INDÚSTRIA TEXTIL BETILHA LTDA,4499,0,0.0,100.0,16
KABRIOLLI,8486,0,0.0,100.0,17
Lunelli Nordeste,104953,0,0.0,100.0,18
MALHAS D'STEFANO,39115,0,0.0,100.0,19
AZZURRA,1996,0,0.0,100.0,20
MC & MC,6610,0,0.0,100.0,21
ARTIGO X,4982,0,0.0,100.0,22
T Christina,800,0,0.0,100.0,23
