supplier_name,vol_total,pct_ext_medio,cascade_pct,n_pares,antecipacao_d
BAE BRASIL,1178608.0,84.0,88.0,8.0,52.0
BY COTTON,308826.0,67.6,67.0,6.0,54.0
ART LIVRE,307105.0,67.9,83.0,6.0,52.0
MALHAS D'STEFANO,244948.0,19.2,,,10.0
RIZLLEP,197419.0,70.7,86.0,7.0,84.0
LUTESTIL,129126.0,78.7,100.0,3.0,33.0
DDAL,115190.0,41.0,60.0,5.0,40.0
Lunelli Nordeste,104953.0,19.5,0.0,1.0,66.0
INTERTEXTIL,96540.0,100.0,100.0,3.0,36.0
FABIO,79930.0,44.6,100.0,2.0,52.0
RDM,69469.0,36.1,50.0,4.0,31.0
MAURA,58245.0,75.7,71.0,7.0,58.0
PIXIE,54006.0,67.5,83.0,6.0,27.0
DALOP,53961.0,53.9,83.0,6.0,20.0
ABBA,53559.0,25.7,50.0,2.0,34.0
CENTRAL DA MODELAGEM,34651.0,85.9,100.0,2.0,21.0
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",34202.0,58.1,75.0,4.0,28.0
MC & MC,33756.0,56.5,25.0,4.0,-5.0
MASH,30237.0,46.8,0.0,1.0,23.0
NOVA FORMULA,29231.0,59.8,50.0,2.0,7.0
"Gordon And Smith Confecção, Comércio e Serviços de Serigrafia - LTDA",24194.0,100.0,,,52.0
ARTIGO X,23001.0,48.1,50.0,2.0,-4.0
CLESTE BRASIL CONFECÇÕES LTDA,21249.0,100.0,100.0,1.0,-1.0
GOAT,21034.0,47.9,25.0,4.0,26.0
NATURAL COMPANY CONFECCOES LTDA,19166.0,100.0,100.0,1.0,54.0
AZZURRA,16425.0,79.1,100.0,2.0,26.0
KABRIOLLI,15445.0,54.8,100.0,1.0,7.0
TOP SPORT,10885.0,100.0,,,21.0
LATINA,10050.0,100.0,100.0,1.0,57.0
WARUSKY,9654.0,100.0,100.0,1.0,36.0
CLARA BELLA,8414.0,38.9,100.0,1.0,-1.0
INDÚSTRIA TEXTIL BETILHA LTDA,7333.0,39.3,67.0,3.0,11.0
MAC CLEM,5144.0,62.3,,,6.0
HENRIQUE,4961.0,50.4,,,21.0
Confecções Vanelise Ltda,3474.0,0.0,,,
FITMAX,2555.0,100.0,,,52.0
T Christina,800.0,0.0,,,
