supplier_name,vol_total,n_mes_alvo,pct_ext_medio,n_pares_M_problematicos,cascade_pct
INTERTEXTIL,186146,6,93.3,5,100.0
FABIO,155221,6,24.7,2,100.0
LUTESTIL,147127,5,72.3,3,100.0
CLESTE BRASIL CONFECÇÕES LTDA,53575,4,62.6,2,100.0
AZZURRA,33825,6,38.4,2,100.0
NATURAL COMPANY CONFECCOES LTDA,19166,2,100.0,1,100.0
KABRIOLLI,15445,5,54.8,1,100.0
LATINA,10050,2,100.0,1,100.0
WARUSKY,9654,2,100.0,1,100.0
CLARA BELLA,8414,5,38.9,1,100.0
DALOP,73108,11,50.2,8,87.5
PIXIE,67590,10,63.2,8,87.5
ART LIVRE,359709,10,58.0,6,83.3
BAE BRASIL,1622749,11,69.0,9,77.8
BY COTTON,481318,11,59.7,8,75.0
RIZLLEP,270779,11,54.5,8,75.0
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",34202,5,58.1,4,75.0
CENTRAL DA MODELAGEM,69062,5,68.8,3,66.7
INDÚSTRIA TEXTIL BETILHA LTDA,7333,5,39.3,3,66.7
MAURA,83809,11,66.8,8,62.5
DDAL,122911,10,40.9,6,50.0
RDM,92954,10,27.0,4,50.0
ABBA,53559,5,25.7,2,50.0
NOVA FORMULA,31236,5,56.0,2,50.0
MC & MC,42157,9,56.6,5,40.0
GOAT,35448,10,42.0,5,40.0
ARTIGO X,39101,9,37.3,3,33.3
Lunelli Nordeste,104953,3,19.5,1,0.0
MASH,30237,3,46.8,1,0.0
MALHAS D'STEFANO,334949,11,17.7,0,
LUNELLI,45000,1,0.0,0,
"Gordon And Smith Confecção, Comércio e Serviços de Serigrafia - LTDA",24194,1,100.0,0,
FITMAX,15853,2,80.2,0,
TOP SPORT,10885,1,100.0,0,
MAC CLEM,9544,3,53.0,0,
HENRIQUE,9101,2,27.5,0,
Confecções Vanelise Ltda,3474,2,0.0,0,
T Christina,800,1,0.0,0,
