supplier_name,M-1 (2026-03),M-2 (2026-02),vol_total_M-2_M-1
BAE BRASIL,81.4,87.8,227581.0
BY COTTON,42.6,84.4,88240.0
ART LIVRE,89.4,96.7,85861.0
MALHAS D'STEFANO,21.1,18.7,82185.0
RIZLLEP,100.0,0.0,27067.0
DDAL,56.2,100.0,25290.0
RDM,69.5,14.0,18270.0
MAURA,91.5,100.0,15593.0
LUTESTIL,,100.0,12398.0
"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",42.5,100.0,12079.0
ARTIGO X,49.4,74.9,12028.0
PIXIE,37.6,100.0,10212.0
ABBA,54.2,,9500.0
DALOP,100.0,100.0,9266.0
FABIO,,100.0,5214.0
MC & MC,87.3,0.0,4478.0
INTERTEXTIL,,100.0,4000.0
GOAT,53.8,0.0,3077.0
INDÚSTRIA TEXTIL BETILHA LTDA,100.0,47.6,2834.0
NOVA FORMULA,,0.0,2042.0
NATURAL COMPANY CONFECCOES LTDA,,100.0,1503.0
LATINA,,100.0,1015.0
KABRIOLLI,0.0,,750.0
