semana_ini,vendas,reversas,td_pct,media_movel_4s,reportavel,is_w2
2024-12-30,18073,749.0,4.14,,True,False
2025-01-06,30596,1228.0,4.01,,True,False
2025-01-13,41133,1542.0,3.75,,True,False
2025-01-20,42971,1540.0,3.58,3.87,True,False
2025-01-27,47308,1679.0,3.55,3.72,True,False
2025-02-03,44223,1801.0,4.07,3.74,True,False
2025-02-10,51442,1907.0,3.71,3.73,True,False
2025-02-17,49064,1931.0,3.94,3.82,True,False
2025-02-24,41539,1662.0,4.0,3.93,True,False
2025-03-03,49077,1941.0,3.96,3.9,True,False
2025-03-10,89799,3143.0,3.5,3.85,True,False
2025-03-17,58881,2158.0,3.67,3.78,True,False
2025-03-24,52089,2044.0,3.92,3.76,True,False
2025-03-31,46336,1808.0,3.9,3.75,True,False
2025-04-07,44949,1736.0,3.86,3.84,True,False
2025-04-14,44475,1576.0,3.54,3.8,True,False
2025-04-21,40762,1653.0,4.06,3.84,True,False
2025-04-28,44611,1887.0,4.23,3.92,True,False
2025-05-05,48579,1897.0,3.9,3.93,True,False
2025-05-12,46541,1919.0,4.12,4.08,True,False
2025-05-19,43276,1777.0,4.11,4.09,True,False
2025-05-26,44538,1890.0,4.24,4.09,True,False
2025-06-02,50495,2248.0,4.45,4.23,True,False
2025-06-09,42604,1802.0,4.23,4.26,True,False
2025-06-16,41336,1558.0,3.77,4.17,True,False
2025-06-23,47881,1859.0,3.88,4.08,True,False
2025-06-30,47084,1907.0,4.05,3.98,True,False
2025-07-07,55835,2317.0,4.15,3.96,True,False
2025-07-14,50750,2200.0,4.33,4.1,True,False
2025-07-21,76275,3004.0,3.94,4.12,True,False
2025-07-28,78453,3401.0,4.34,4.19,True,False
2025-08-04,77315,3787.0,4.9,4.38,True,False
2025-08-11,57695,2567.0,4.45,4.41,True,False
2025-08-18,55153,2307.0,4.18,4.47,True,False
2025-08-25,64521,2962.0,4.59,4.53,True,False
2025-09-01,59518,2983.0,5.01,4.56,True,False
2025-09-08,65607,3098.0,4.72,4.62,True,False
2025-09-15,72907,3397.0,4.66,4.74,True,False
2025-09-22,48799,2242.0,4.59,4.74,True,False
2025-09-29,56223,2803.0,4.99,4.74,True,False
2025-10-06,59854,3218.0,5.38,4.9,True,False
2025-10-13,61770,3453.0,5.59,5.14,True,False
2025-10-20,65502,3655.0,5.58,5.38,True,False
2025-10-27,82984,4100.0,4.94,5.37,True,False
2025-11-03,114966,5573.0,4.85,5.24,True,False
2025-11-10,127887,7353.0,5.75,5.28,True,False
2025-11-17,100839,5469.0,5.42,5.24,True,False
2025-11-24,263561,13244.0,5.03,5.26,True,False
2025-12-01,88787,4560.0,5.14,5.34,True,False
2025-12-08,96055,4801.0,5.0,5.15,True,False
2025-12-15,76424,3963.0,5.19,5.09,True,False
2025-12-22,48142,2463.0,5.12,5.11,True,False
2025-12-29,53860,2787.0,5.17,5.12,True,False
2026-01-05,53355,2694.0,5.05,5.13,True,False
2026-01-12,45725,2631.0,5.75,5.27,True,False
2026-01-19,45600,2603.0,5.71,5.42,True,False
2026-01-26,50815,2810.0,5.53,5.51,True,False
2026-02-02,56307,2834.0,5.03,5.51,True,False
2026-02-09,54265,3206.0,5.91,5.54,True,False
2026-02-16,56812,3448.0,6.07,5.64,True,False
2026-02-23,62880,3924.0,6.24,5.81,True,False
2026-03-02,76847,5035.0,6.55,6.19,True,False
2026-03-09,96087,6194.0,6.45,6.33,True,False
2026-03-16,86045,5522.0,6.42,6.42,True,False
2026-03-23,79037,4603.0,5.82,6.31,True,False
2026-03-30,66971,3620.0,5.41,6.02,True,False
2026-04-06,69703,3415.0,4.9,5.64,True,False
2026-04-13,57609,2828.0,4.91,5.26,True,False
2026-04-20,51619,2401.0,4.65,4.97,True,False
2026-04-27,44546,2312.0,5.19,4.91,True,False
2026-05-04,45183,2253.0,4.99,4.94,True,False
2026-05-11,45242,2293.0,5.07,4.98,True,False
2026-05-18,41671,2191.0,5.26,5.13,True,False
2026-05-25,46787,2234.0,4.77,5.02,True,False
2026-06-01,60150,2702.0,4.49,4.9,True,False
2026-06-08,46812,2288.0,4.89,4.85,True,False
2026-06-15,35018,1868.0,5.33,4.87,True,False
2026-06-22,31992,1764.0,5.51,5.06,True,False
2026-06-29,43702,2497.0,5.71,5.36,True,False
2026-07-06,44089,2402.0,5.45,5.5,True,False
2026-07-13,37857,2092.0,5.53,5.55,True,True
2026-07-20,38648,1565.0,4.05,5.18,False,False
2026-07-27,53151,290.0,0.55,3.9,False,False
2026-08-03,226,0.0,0.0,2.53,False,False
