mes,vendas,reversas,td_pct,status
2025-01,168160,6304.0,3.75,oficial (maduro)
2025-02,187230,7269.0,3.88,oficial (maduro)
2025-03,271143,10145.0,3.74,oficial (maduro)
2025-04,186430,7193.0,3.86,oficial (maduro)
2025-05,201484,8322.0,4.13,oficial (maduro)
2025-06,195304,8004.0,4.1,oficial (maduro)
2025-07,272439,11215.0,4.12,oficial (maduro)
2025-08,283469,12935.0,4.56,oficial (maduro)
2025-09,266541,12621.0,4.74,oficial (maduro)
2025-10,283615,15137.0,5.34,oficial (maduro)
2025-11,630261,32830.0,5.21,oficial (maduro)
2025-12,333045,17068.0,5.12,oficial (maduro)
2026-01,217791,11838.0,5.44,oficial (maduro)
2026-02,228536,13164.0,5.76,oficial (maduro)
2026-03,376559,23666.0,6.28,oficial (maduro)
2026-04,244773,12031.0,4.92,oficial (maduro)
2026-05,195670,9858.0,5.04,oficial (maduro)
2026-06,185589,9240.0,4.98,oficial (maduro)
2026-07,189557,8228.0,4.34,em maturação
2026-08,16499,0.0,0.0,em maturação
