op_code,product_sku,cycle_name,supplier_name,product_name,cycle_type,n_rev_planned,n_rev_reviewed_ext,n_rev_grade,n_rev_total,total_magnitude_dt_planned,total_magnitude_dt_reviewed,total_abs_delta_grade,first_revision_date,last_revision_date,faixa_rev,n_rev_int,n_rev_ext,dominant_type,total_magnitude
OPF37N1803,201040122605,EPA0512,BAE BRASIL,Calcinha Safe Feminino,Extra,1,29,0,30,41,41,0,2026-02-21,2026-04-01,6+,1,29,Externo (EXT),82
OPF37N1803,201040122606,EPA0512,BAE BRASIL,Calcinha Safe Feminino,Extra,1,29,0,30,41,41,0,2026-02-21,2026-04-01,6+,1,29,Externo (EXT),82
OPF37N1803,201040122607,EPA0512,BAE BRASIL,Calcinha Safe Feminino,Extra,1,29,0,30,41,41,0,2026-02-21,2026-04-01,6+,1,29,Externo (EXT),82
OPF37N1873,202180687504,C042026,BAE BRASIL,The Perfect Top Feminino,Base,1,25,0,26,21,46,0,2026-02-21,2026-04-17,6+,1,25,Externo (EXT),67
OPF37N1873,202180687505,C042026,BAE BRASIL,The Perfect Top Feminino,Base,1,25,0,26,21,46,0,2026-02-21,2026-04-17,6+,1,25,Externo (EXT),67
OPF37N1873,202180687506,C042026,BAE BRASIL,The Perfect Top Feminino,Base,1,25,0,26,21,46,0,2026-02-21,2026-04-17,6+,1,25,Externo (EXT),67
OPF37N1873,202180687507,C042026,BAE BRASIL,The Perfect Top Feminino,Base,1,25,0,26,21,46,0,2026-02-21,2026-04-17,6+,1,25,Externo (EXT),67
OPF37N1859,2148210118703,C042026,BAE BRASIL,The Perfect Top Feminino,Base,0,24,0,24,0,39,0,2026-02-21,2026-03-24,6+,0,24,Externo (EXT),39
OPF37N1859,2148210118704,C042026,BAE BRASIL,The Perfect Top Feminino,Base,0,24,0,24,0,39,0,2026-02-21,2026-03-24,6+,0,24,Externo (EXT),39
OPF37N1859,2148210118705,C042026,BAE BRASIL,The Perfect Top Feminino,Base,0,24,0,24,0,39,0,2026-02-21,2026-03-24,6+,0,24,Externo (EXT),39
OPF37N1859,2148210118706,C042026,BAE BRASIL,The Perfect Top Feminino,Base,0,24,0,24,0,39,0,2026-02-21,2026-03-24,6+,0,24,Externo (EXT),39
OPF37N1859,2148210118707,C042026,BAE BRASIL,The Perfect Top Feminino,Base,0,24,0,24,0,39,0,2026-02-21,2026-03-24,6+,0,24,Externo (EXT),39
OPF37N1859,2148210118708,C042026,BAE BRASIL,The Perfect Top Feminino,Base,0,24,0,24,0,39,0,2026-02-21,2026-03-24,6+,0,24,Externo (EXT),39
OPF37N1720,202180687504,C032026,BAE BRASIL,The Perfect Top Feminino,Base,0,20,0,20,0,76,0,2026-02-20,2026-04-16,6+,0,20,Externo (EXT),76
