snapshot_week,cycle_name,cycle_type,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,mes_alvo,kr1,kr1_pct,mes_alvo_str
2025-11-10,Alocação extra Adapt Fit,Extra,17600,0,0,0,0,0,2250,2250,2025-11,1.0,100.0,2025-11
2025-11-10,BOLD 2 - Revisada,Extra,84506,0,0,0,0,4480,0,4480,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,394640,0,0,0,0,71196,23472,94668,2026-01,1.0,100.0,2026-01
2025-11-10,C022026,Base,361086,2042,0,1371,8992,29657,0,29657,2026-02,0.9750973452307761,97.5,2026-02
2025-11-10,C032026,Base,299397,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C112025,Base,709871,0,0,589,2237,78898,86479,165377,2025-11,0.9968487232187256,99.7,2025-11
2025-11-10,C122025,Base,536059,0,0,589,2239,65426,27927,93353,2025-12,0.9958232209514252,99.6,2025-12
2025-11-10,Café lab,Extra,16091,0,0,0,0,2503,0,2503,2025-11,1.0,100.0,2025-11
2025-11-10,EPA0309,Extra,7860,0,0,0,0,0,856,856,2025-12,1.0,100.0,2025-12
2025-11-10,EPA0711,Extra,37397,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,EPA08TPT,Extra,29998,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,EPA1011,Extra,16747,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,EPA1111,Extra,3476,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-10,EPA1209,Extra,2368,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-10,EPA1308,Extra,628,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,EPA1311,Extra,400,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,EPA1411,Extra,3460,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-10,EPA1510,Extra,17749,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,EPA1609,Extra,12599,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,EPA1908,Extra,1092,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-10,EPA2010,Extra,437,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,EPA2609,Extra,12604,0,0,0,0,0,1008,1008,2025-11,1.0,100.0,2025-11
2025-11-10,EPA2706,Extra,75678,0,0,0,0,64608,1000,65608,2025-11,1.0,100.0,2025-11
2025-11-10,EPA2710,Extra,9,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,EPA2808,Extra,17799,0,0,0,0,12800,0,12800,2025-11,1.0,100.0,2025-11
2025-11-10,EPA2908,Extra,2746,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,EPA2909,Extra,15900,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,EPA3005,Extra,13603,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-10,FUTURE FORM 2,Extra,17961,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,GRAFENO,Extra,4408,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,LAN0209,Extra,3199,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,LAN0210,Extra,24583,0,0,0,0,449,0,449,2025-11,1.0,100.0,2025-11
2025-11-10,LAN0310,Extra,3778,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-10,LAN0710,Extra,4995,0,0,0,0,4995,0,4995,2025-12,1.0,100.0,2025-12
2025-11-10,LAN1010,Extra,7153,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-10,LAN1509,Extra,73561,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,LAN1908,Extra,2400,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-10,LAN2209,Extra,5061,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,LAN2410,Extra,57937,0,0,0,0,1590,0,1590,2026-03,1.0,100.0,2026-03
2025-11-10,LAN2509,Extra,10210,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,LAN2609,Extra,1200,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
