snapshot_week,cycle_name,cycle_type,supplier_name,product_name,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,mes_alvo,kr1,kr1_pct,mes_alvo_str
2025-11-10,Alocação extra Adapt Fit,Extra,CLARA BELLA,Calça Flare InSkin Feminino,2000,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,Alocação extra Adapt Fit,Extra,CLARA BELLA,Modern Top Feminino,1600,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-10,Alocação extra Adapt Fit,Extra,CLARA BELLA,Stirrup Legging Feminino,12000,0,0,0,0,0,2000,2000,2025-11,1.0,100.0,2025-11
2025-11-10,Alocação extra Adapt Fit,Extra,CLARA BELLA,Zipper Legging Feminino,2000,0,0,0,0,0,250,250,2025-11,1.0,100.0,2025-11
2025-11-10,BOLD 2 - Revisada,Extra,WARUSKY,Boxy Cropped InLounge Feminino,6408,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,BOLD 2 - Revisada,Extra,WARUSKY,Calça Studio InLounge Masculino,3991,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,BOLD 2 - Revisada,Extra,WARUSKY,Calça Wide Leg InLounge Feminino,20132,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,BOLD 2 - Revisada,Extra,WARUSKY,Everyday Shorts InLounge Masculino,8103,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,BOLD 2 - Revisada,Extra,WARUSKY,Heavy Pullover InLounge,1232,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,BOLD 2 - Revisada,Extra,WARUSKY,Minimal Top InLounge Feminino,26093,0,0,0,0,4260,0,4260,2026-01,1.0,100.0,2026-01
2025-11-10,BOLD 2 - Revisada,Extra,WARUSKY,Oversized T-shirt InLounge,10976,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,BOLD 2 - Revisada,Extra,WARUSKY,Shorts Boxy InLounge Feminino,4711,0,0,0,0,220,0,220,2026-01,1.0,100.0,2026-01
2025-11-10,BOLD 2 - Revisada,Extra,WARUSKY,Vestido Sharp InLounge Feminino,2860,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,ART LIVRE,Daily T-shirt Masculino,11868,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,ART LIVRE,Tech T-shirt Gola V Feminino,4594,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,ART LIVRE,Tech T-shirt Heavy Masculino,4288,0,0,0,0,4288,0,4288,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,ART LIVRE,Tech T-shirt Heavy Slim Masculino,4065,0,0,0,0,4065,0,4065,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,ART LIVRE,Tech T-shirt Long Sleeve Feminino,5382,0,0,0,0,1066,0,1066,2026-01,1.0,100.0,2026-01
