cycle_name,cycle_type,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,n_ops,n_skus,baseline_date,kr1,kr1_pct,pct_int_date,pct_int_cancel,pct_int_grade,mes_alvo
C112025,Base,709871,48935,0,10739,59674,110737,293566,400877,397,950,2025-11-10,0.9159368392285359,91.6,6.9,0.0,1.5,2025-11
EPA2706,Extra,75678,0,0,0,0,64608,5153,69761,49,105,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
LAN1509,Extra,73561,0,0,0,0,0,30612,30612,22,15,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
NEXTECH,Extra,40014,0,0,0,0,25405,4334,29739,45,42,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
EPA08TPT,Extra,29998,0,0,0,0,0,15998,15998,8,13,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
LAN0210,Extra,24583,0,0,0,0,1175,12381,12830,55,47,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
FUTURE FORM 2,Extra,17961,0,0,0,0,3504,11306,14810,20,80,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
EPA2808,Extra,17799,0,0,0,0,12800,4999,17799,4,19,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
Alocação extra Adapt Fit,Extra,17600,250,0,0,250,0,6250,6250,29,16,2025-11-10,0.9857954545454546,98.6,1.4,0.0,0.0,2025-11
Café lab,Extra,16091,4347,0,0,4347,2503,2713,5216,39,60,2025-11-10,0.7298489839040457,73.0,27.0,0.0,0.0,2025-11
EPA2909,Extra,15900,0,0,0,0,0,0,0,3,10,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
EPA2609,Extra,12604,0,0,0,0,0,12604,12604,16,36,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
EPA1609,Extra,12599,0,0,0,0,0,0,0,3,5,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
REPLAN0509,Extra,9000,0,0,0,0,0,0,0,2,9,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
LANFUTUREFORM2,Extra,7552,7202,0,750,7202,1250,0,1250,12,30,2025-11-10,0.04634533898305082,4.6,95.4,0.0,9.9,2025-11
NP Casacos,Extra,3322,0,0,0,0,3322,0,3322,11,60,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
EPA2908,Extra,2746,0,0,0,0,0,1999,1999,3,8,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
EPA1308,Extra,628,0,0,0,0,0,628,628,1,5,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
EPA2710,Extra,9,0,0,0,0,0,9,9,1,1,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-11
C122025,Base,536059,15416,0,13620,29036,109212,295031,397307,317,810,2025-11-10,0.9458343204759178,94.6,2.9,0.0,2.5,2025-12
UW FEMININA - NOVO DROP - Revisada,Extra,66346,16377,0,0,16377,27955,22777,41928,60,105,2025-11-10,0.7531576884815965,75.3,24.7,0.0,0.0,2025-12
THE PERFECT TOP - VARIAÇÕES,Extra,64918,16371,0,0,16371,24916,31949,38706,63,60,2025-11-13,0.7478203271819834,74.8,25.2,0.0,0.0,2025-12
REPLAN2708,Extra,14998,0,0,0,0,0,11248,11248,8,16,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-12
EPA3005,Extra,13603,3700,0,0,3700,0,0,0,12,35,2025-11-10,0.7280011762111299,72.8,27.2,0.0,0.0,2025-12
EPA2411,Extra,11499,0,0,1800,1800,0,9499,9499,4,12,2025-11-25,0.8434646490999217,84.3,0.0,0.0,15.7,2025-12
Whateverproof / LifeProof,Extra,8642,0,0,0,0,7478,994,8472,25,33,2025-11-10,1.0,100.0,0.0,0.0,0.0,2025-12
