mes_alvo,cycle_type,vol_original,vol_int_any,vol_int_date,vol_int_cancel,vol_int_grade,vol_ext_any,vol_ext_cancel,vol_ext_date_rev,n_coortes,kr1_pct,mes_alvo_str
2025-11,Base,709871,59674,48935,0,10739,400877,110737,293566,1,91.6,2025-11
2025-11,Extra,377645,11799,11799,0,750,222827,114567,108986,18,96.9,2025-11
2025-12,Base,536059,29036,15416,0,13620,397307,109212,295031,1,94.6,2025-12
2025-12,Extra,218123,49680,47114,0,2566,126674,62424,89237,17,77.2,2025-12
2026-01,Base,396201,40245,29393,0,16693,323784,109198,224739,3,89.8,2026-01
2026-01,Extra,237276,98690,95642,0,3048,96950,48357,48993,14,58.4,2026-01
2026-02,Base,361086,63016,53092,2737,20465,252427,56647,203566,1,82.5,2026-02
2026-02,Extra,91526,12997,9942,0,4091,58180,5158,53022,13,85.8,2026-02
2026-03,Base,299397,117131,94984,10742,27207,176796,5688,171108,1,60.9,2026-03
2026-03,Extra,310910,70799,68894,3406,4999,201521,63500,138722,19,77.2,2026-03
2026-04,Base,356484,268315,225503,43623,34971,81564,23009,59055,1,24.7,2026-04
2026-04,Extra,147992,81500,67253,8528,18908,44376,9991,34385,18,44.9,2026-04
2026-05,Base,282514,220270,181527,36143,42107,40848,15059,25789,1,22.0,2026-05
2026-05,Extra,62899,40857,37706,1645,16327,11874,10582,1292,8,35.0,2026-05
2026-06,Base,339083,234351,193030,30225,39861,30232,6935,23297,1,30.9,2026-06
2026-06,Extra,40878,21995,16495,5500,826,5839,3804,2035,9,46.2,2026-06
2026-07,Base,137051,0,0,0,0,21680,21680,0,1,100.0,2026-07
2026-07,Extra,7968,1620,1620,0,576,783,783,0,2,79.7,2026-07
