op_code,product_sku,cycle_name,supplier_id,supplier_name,product_name,product_color,product_size,is_finished_product_order,production_order_type,baseline_date,cycle_type,baseline_stage,baseline_planned_qty,baseline_dt_planned,baseline_dt_reviewed,current_stage,current_planned_qty,current_dt_planned,current_dt_reviewed,current_received_qty,current_cutted_qty,current_dt_max_entry,latest_ingestion_date,canceled_production_reason,is_int_date,is_int_cancel,is_int_grade,is_int_any,is_ext_cancel,is_ext_date_rev,is_ext_any,delta_days_planned,delta_days_reviewed,delta_planned_qty,int_reason_excl
OPF101N16,203120720104,Alocação extra Adapt Fit,101,CLARA BELLA,Stirrup Legging Feminino,Preto,P,True,committed,2025-11-10,Extra,finished,667,2025-10-01,2025-10-01,finished,667,2025-10-01,2025-10-01,655,668,2025-10-06,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N16,203120720105,Alocação extra Adapt Fit,101,CLARA BELLA,Stirrup Legging Feminino,Preto,M,True,committed,2025-11-10,Extra,finished,667,2025-10-01,2025-10-01,finished,667,2025-10-01,2025-10-01,660,669,2025-10-06,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N16,203120720106,Alocação extra Adapt Fit,101,CLARA BELLA,Stirrup Legging Feminino,Preto,G,True,committed,2025-11-10,Extra,finished,444,2025-10-01,2025-10-01,finished,444,2025-10-01,2025-10-01,435,444,2025-10-06,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N16,203120720107,Alocação extra Adapt Fit,101,CLARA BELLA,Stirrup Legging Feminino,Preto,GG,True,committed,2025-11-10,Extra,finished,222,2025-10-01,2025-10-01,finished,222,2025-10-01,2025-10-01,222,222,2025-10-06,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N17,203120720104,Alocação extra Adapt Fit,101,CLARA BELLA,Stirrup Legging Feminino,Preto,P,True,committed,2025-11-10,Extra,finished,667,2025-10-08,2025-10-16,finished,667,2025-10-08,2025-10-16,647,672,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N17,203120720105,Alocação extra Adapt Fit,101,CLARA BELLA,Stirrup Legging Feminino,Preto,M,True,committed,2025-11-10,Extra,finished,667,2025-10-08,2025-10-16,finished,667,2025-10-08,2025-10-16,665,672,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N17,203120720106,Alocação extra Adapt Fit,101,CLARA BELLA,Stirrup Legging Feminino,Preto,G,True,committed,2025-11-10,Extra,finished,444,2025-10-08,2025-10-16,finished,444,2025-10-08,2025-10-16,444,448,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N17,203120720107,Alocação extra Adapt Fit,101,CLARA BELLA,Stirrup Legging Feminino,Preto,GG,True,committed,2025-11-10,Extra,finished,222,2025-10-08,2025-10-16,finished,222,2025-10-08,2025-10-16,222,222,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N18,203120730104,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,P,True,committed,2025-11-10,Extra,finished,50,2025-10-01,2025-10-09,finished,50,2025-10-01,2025-10-09,50,50,2025-10-09,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N18,203120730105,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,M,True,committed,2025-11-10,Extra,finished,100,2025-10-01,2025-10-09,finished,100,2025-10-01,2025-10-09,100,100,2025-10-09,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N18,203120730106,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,G,True,committed,2025-11-10,Extra,finished,50,2025-10-01,2025-10-09,finished,50,2025-10-01,2025-10-09,50,50,2025-10-09,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N18,203120730107,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,GG,True,committed,2025-11-10,Extra,finished,50,2025-10-01,2025-10-09,finished,50,2025-10-01,2025-10-09,50,50,2025-10-09,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N19,203120730104,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,P,True,committed,2025-11-10,Extra,finished,50,2025-10-08,2025-10-16,finished,50,2025-10-08,2025-10-16,49,50,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N19,203120730105,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,M,True,committed,2025-11-10,Extra,finished,100,2025-10-08,2025-10-16,finished,100,2025-10-08,2025-10-16,100,100,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N19,203120730106,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,G,True,committed,2025-11-10,Extra,finished,50,2025-10-08,2025-10-16,finished,50,2025-10-08,2025-10-16,50,50,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N19,203120730107,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,GG,True,committed,2025-11-10,Extra,finished,50,2025-10-08,2025-10-16,finished,50,2025-10-08,2025-10-16,50,50,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N20,203120730104,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,P,True,committed,2025-11-10,Extra,finished,50,2025-10-15,2025-10-16,finished,50,2025-10-15,2025-10-16,47,50,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N20,203120730105,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,M,True,committed,2025-11-10,Extra,finished,100,2025-10-15,2025-10-16,finished,100,2025-10-15,2025-10-16,100,100,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N20,203120730106,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,G,True,committed,2025-11-10,Extra,finished,50,2025-10-15,2025-10-16,finished,50,2025-10-15,2025-10-16,46,50,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N20,203120730107,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,GG,True,committed,2025-11-10,Extra,finished,50,2025-10-15,2025-10-16,finished,50,2025-10-15,2025-10-16,50,50,2025-10-17,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N21,203120730104,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,P,True,committed,2025-11-10,Extra,finished,50,2025-10-22,2025-10-20,finished,50,2025-10-22,2025-10-20,46,50,2025-10-20,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N21,203120730105,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,M,True,committed,2025-11-10,Extra,finished,100,2025-10-22,2025-10-20,finished,100,2025-10-22,2025-10-20,103,100,2025-10-20,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N21,203120730106,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,G,True,committed,2025-11-10,Extra,finished,50,2025-10-22,2025-10-20,finished,50,2025-10-22,2025-10-20,44,50,2025-10-20,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
OPF101N21,203120730107,Alocação extra Adapt Fit,101,CLARA BELLA,Zipper Legging Feminino,Preto,GG,True,committed,2025-11-10,Extra,finished,50,2025-10-22,2025-10-20,finished,50,2025-10-22,2025-10-20,46,50,2025-10-20,2026-04-20,,False,False,False,False,False,False,False,0,0,0,Inalterado
