product_name,category,gender,portfolio_cluster,sinal_priorizacao,priority_score,td_score,commercial_score,qt_pedidos,qt_skus,qt_items_vendidos,receita_liquida,qt_reversas,qt_items_returned,qt_trocas,qt_devolucoes,qt_reversas_fisico,qt_reversas_logistico,valor_troca,valor_devolucao,td_rate,td_rate_categoria,delta_vs_categoria,ratio_vs_categoria,share_receita_portfolio,share_unidades_portfolio,share_td_portfolio,top_1_problema,top_1_pct,top_2_problema,top_2_pct,top_3_problema,top_3_pct,pct_top_3_total,principal_cor_afetada,principal_cor_pct,principal_tamanho_afetado,principal_tamanho_pct,reversas_ultimos_3m,reversas_3m_anteriores,tendencia_reversas,comentarios_amostra,resumo_pre_llm,portfolio_cluster_payload
Calça FutureForm Feminino,Calça,female,Hero,Priorizar melhoria,0.9053913043478261,0.9199999999999999,0.8834782608695653,24971,15,26018,8996127.22,4287,4293.0,2528,1703,3813,15,1069425.8200000003,961715.1800000003,0.16500115304788993,0.12295430155607226,0.042046851491817666,1.341971374402404,0.025647305,0.008705795119026269,0.025077692361614133,caimento_ruim,0.14415675297410777,modelagem_ruim,0.1224632610216935,tamanho_pequeno,0.04851877770002332,0.3151387916958246,Preto,0.5418707721017029,M,0.350828084907861,1194,1227,Estável,"A aniversariante disse que parece uma lona de bar. || Vestiu muito mal e não é marrom, é verde  || Não gostei do corte, modelo e tecido no corpo || Amei o tecido a modelagem e o conforto é simplesmente perfeito  || A calça não ficou como eu imaginava no corpo || Apesar da devolução, estou muito satisfeita com a qualidade das peças e o atendimento pós venda.  || O cós é muito alto e não aparece assim nas fotos do site  || Já comprei o tamanho menor || Amei a calça, mas pra mim não vestiu bem. || É a primeira vez que não consigo encontrar um bom tamanho de um produto insider. Trnho várias peças da marca, mas infelizmente a calça não deu certo. A M ficou justa, a G ficou larga.","Top problemas: caimento_ruim, modelagem_ruim, tamanho_pequeno. Top 3 concentram 31.5% das reversas com tag. Há concentração relevante na cor Preto. Tendência: Estável.","{""cluster"":""Hero"",""product_name"":""Calça FutureForm Feminino"",""first_sale_date"":""2024-07-16"",""skp_state"":""ativo_perene"",""num_colors"":3,""category_1"":""Woman"",""category_2"":""Woman Casual"",""category_3"":""Woman Casual Bottoms"",""category_4"":""Woman Casual Bottoms Pants"",""revenue_after_discounts"":8137876.78,""qt_sold"":28293,""mc3_ratio"":0.26209503788659821,""num_products_cat4"":10,""pctl_category_relevance_company"":92.3076923076923,""viabilidade_financeira_raw"":-0.12187909265957235,""pctl_revenue_company"":93.627450980392155,""pctl_revenue_cat4"":100,""pctl_volume_company"":84.803921568627445,""pctl_viabilidade_company"":28.921568627450984,""manual_classification"":null,""aging"":54.691090720950463,""is_hero"":true,""is_core"":false,""processed_at"":""2026-06-12""}"
Tube Dress Feminino,Vestido,female,Core,Priorizar melhoria,0.8627826086956522,0.8860869565217391,0.8278260869565217,20346,5,20465,5699452.9,3511,3514.0,2132,1344,3231,4,700761.5900000001,587155.246,0.17170779379428291,0.16338701443356385,0.008320779360719066,1.0509268095115505,0.016248726,0.006847724541120477,0.02052713975278641,tamanho_pequeno,0.1589290800341783,caimento_ruim,0.11962403873540302,modelagem_ruim,0.06607804044431786,0.3446311592138992,Preto,1.0,M,0.3907718598689832,754,1036,Caiu nos últimos 3 meses,"muito justo o vestido p  meu corpo || Tenho sim, já comprei outras peças Insider que gostei muito. Esse vestido, em particular, achei o tecido bem mais ou menos. Mas, como foi um presente, vou apenas trocar o número. || Fiquei no intermediário entre P e M, porém não serviu || Achei péssimo. Fui no provador, conversei com um atendente ( tenho a conversa no WhatsApp) e pedi o tamanho G. Não sei porque veio PP. Achei frustrante. || Vestido pesado, não gostei do material. Diferente da propaganda que diz ser bem confortável  || Gostei do vestido . || Meu pedido não aparece no site de forma alguma. 
Pedi auxílio pelo Instagram e não sei se foi por lá q promoveram o envio. E só soube o número do pedido por conta de msg por WhatsApp. Isso me deixou bem insegura  || Apesar do provador virtual e medidas indicarem tam M, achei muito justo || nao vestiu bem || até o momento gostei da peça ","Top problemas: tamanho_pequeno, caimento_ruim, modelagem_ruim. Top 3 concentram 34.5% das reversas com tag. Há concentração relevante na cor Preto. Tendência: Caiu nos últimos 3 meses.","{""cluster"":""Core"",""product_name"":""Tube Dress Feminino"",""first_sale_date"":""2024-06-26"",""skp_state"":""ativo_perene"",""num_colors"":3,""category_1"":""Woman"",""category_2"":""Woman Casual"",""category_3"":""Woman Casual Dresses"",""category_4"":""Woman Casual Dresses Dress Midi"",""revenue_after_discounts"":5366792.09,""qt_sold"":22765.000000000004,""mc3_ratio"":0.20518238585853874,""num_products_cat4"":5,""pctl_category_relevance_company"":61.53846153846154,""viabilidade_financeira_raw"":-0.17463730324363189,""pctl_revenue_company"":88.235294117647058,""pctl_revenue_cat4"":100,""pctl_volume_company"":80.882352941176478,""pctl_viabilidade_company"":21.078431372549019,""manual_classification"":null,""aging"":71.006464627633648,""is_hero"":false,""is_core"":true,""processed_at"":""2026-06-12""}"
Skin Cropped Long Sleeve Feminino,Cropped,female,Long tail,Priorizar melhoria,0.8264347826086955,0.9113043478260869,0.6991304347826087,16038,12,18649,2178086.7,2904,2961.0,1852,1001,2763,6,432332.795,342993.4250000001,0.15877526945144513,0.10426281509600759,0.05451245435543754,1.5228369702586797,0.006209567,0.006240078913625984,0.01729677313830409,tamanho_pequeno,0.13739669421487602,modelagem_ruim,0.03787878787878788,caimento_ruim,0.03684573002754821,0.21212121212121213,Preto,0.7183195592286501,M,0.3953168044077135,1704,292,Aumentou nos últimos 3 meses,"O modelo é justo e não gostei || Sou cliente insider e possuo as camisetas de manga curta com a proposta ""segunda pele"". Elas servem perfeitamente o meu tamanho (P). Neste caso, acreditei que serviriam da mesma forma, não sendo muito explícito o aviso acerca da necessidade de ""subir um tamanho"". Assim, sugeriria que mantivessem os tamanhos padrão das compras, a fim de evitar confusões por parte dos clientes.  || Ficou pequena  || A blusa está furada || Pedido entregue errado 
Produto diferente do comprado  || Comprei o mesmo produto com desconto em outro pedido || Gostaria de trocar na M, mas não achei essa opção.  || Achei a peça pequena. Vou cancelar e comprar novamente 1 tamanho maior. || Nao || Ficou apertada no braço e levemente mais curta que na foto mas o tecido é maravilhoso, vou trocar pelo body de vcs de manga comprida","Top problemas: tamanho_pequeno, modelagem_ruim, caimento_ruim. Top 3 concentram 21.2% das reversas com tag. Há concentração relevante na cor Preto. Tendência: Aumentou nos últimos 3 meses.","{""cluster"":""Long tail"",""product_name"":""Skin Cropped Long Sleeve Feminino"",""first_sale_date"":""2023-07-24"",""skp_state"":""ativo_perene"",""num_colors"":8,""category_1"":""Woman"",""category_2"":""Woman Casual"",""category_3"":""Woman Casual Top"",""category_4"":""Woman Casual Top Cropped"",""revenue_after_discounts"":2221737.91,""qt_sold"":22704.999999999982,""mc3_ratio"":0.02526170715125527,""num_products_cat4"":8,""pctl_category_relevance_company"":84.615384615384613,""viabilidade_financeira_raw"":0.039090423141845416,""pctl_revenue_company"":75.490196078431367,""pctl_revenue_cat4"":100,""pctl_volume_company"":80.3921568627451,""pctl_viabilidade_company"":56.862745098039213,""manual_classification"":null,""aging"":83.4080307328395,""is_hero"":false,""is_core"":false,""processed_at"":""2026-06-12""}"
Saia Mini Kyoto Feminino,Saia,female,Core,Priorizar melhoria,0.8243478260869566,0.9321739130434783,0.6626086956521738,11022,15,11319,2620113.09,2312,2315.0,1428,840,2063,3,481583.3300000001,426807.14999999997,0.20452336778867392,0.11900075496117342,0.0855226128275005,1.7186728593058431,0.007469752,0.003787412366525418,0.013523144145617684,caimento_ruim,0.12629757785467127,modelagem_ruim,0.07828719723183392,tamanho_grande,0.061418685121107264,0.26600346020761245,Preto,0.5363321799307958,M,0.3780276816608997,912,565,Aumentou nos últimos 3 meses,"A saia M ficou apertada e a G ficou muito larga  || Não veste bem || Achei curta || O acabamento do bolso não fica legal, ele parece sempre aberto, acho que pode ser pelo quadril maior... mas não ficou bem, nem testando o tamanho maior || Não gostei do modelo, o zíper não abriu inteiramente e nem consegui vestir.  || Eu não gostei de como a peça ficou no meu corpo, não me serviu bem || Esperava que fosse mais encorpada  || N/A || Achei muito mais pra verde do que pra marrom, não combina com o top :/ || Apesar de ser o tamanho correto achei q a saia ficou muito curta atrás. Não vestiu bem.","Top problemas: caimento_ruim, modelagem_ruim, tamanho_grande. Top 3 concentram 26.6% das reversas com tag. Há concentração relevante na cor Preto. Tendência: Aumentou nos últimos 3 meses.","{""cluster"":""Core"",""product_name"":""Saia Mini Kyoto Feminino"",""first_sale_date"":""2024-07-24"",""skp_state"":""ativo_perene"",""num_colors"":3,""category_1"":""Woman"",""category_2"":""Woman Casual"",""category_3"":""Woman Casual Bottoms"",""category_4"":""Woman Casual Bottoms Skirts Mini"",""revenue_after_discounts"":2403465.16,""qt_sold"":12563.000000002094,""mc3_ratio"":0.22209034634971303,""num_products_cat4"":1,""pctl_category_relevance_company"":44.230769230769226,""viabilidade_financeira_raw"":-0.052759774286247764,""pctl_revenue_company"":76.9607843137255,""pctl_revenue_cat4"":50,""pctl_volume_company"":66.17647058823529,""pctl_viabilidade_company"":40.686274509803923,""manual_classification"":null,""aging"":91.82574244073794,""is_hero"":false,""is_core"":true,""processed_at"":""2026-06-12""}"
Calça Wide Leg Feminino,Calça,female,Core,Priorizar melhoria,0.813391304347826,0.8130434782608695,0.8139130434782609,19106,24,19943,5486871.55,2598,2599.0,1404,1127,2346,17,527005.1900000001,541781.89,0.13032141603570174,0.12295430155607226,0.007367114479629483,1.0599175009446073,0.015642672,0.006673059883878118,0.015182138934972077,caimento_ruim,0.0781370284834488,modelagem_ruim,0.05581216320246343,tamanho_pequeno,0.03733641262509623,0.17128560431100848,Preto,0.44110854503464203,M,0.29060816012317164,678,509,Aumentou nos últimos 3 meses,"A calca ficou muito larga na cintura  || Minha calça Wide Leg chegou ontem, dia 11/09/2025. Vestiu super bem, tamanho correto, modelagem perfeita. Eu amei. Hoje, 12/09/2025, pela manhã, vesti a calça e fui para o trabalho. Para minha surpresa, de forma muito desagradável, descobri no meio do caminho que minha calça estava descosturada no bumbum e eu estava com essa parte exposta. Eu fiquei arrasada, pois eu não tinha como voltar para casa por ter um compromisso importante naquele horário. Fui para o trabalho com a calça aberta no bumbum, e tive que dar um jeito de me tampar para que mais ninguém visse. Ao olhar com cuidado o que aconteceu, notei que a costura simplesmente abriu e está se desfazendo. Estou muito chateada e decepcionada com a marca. Por isso, quero o reembolso. || Ficou grande pra mim || É linda porém o tamanho não corresponde  || O caimento ficou total diferente no corpo, marcando muito o quadril, mesmo tendo comprado com número maior do que o indicado pelo site. || Não || Não gostei, ficou pequeno.  || Esperava outro tipo de tecido - mais encorpado  || comprei 2 || Fiquei na dúvida do tamanho ","Top problemas: caimento_ruim, modelagem_ruim, tamanho_pequeno. Top 3 concentram 17.1% das reversas com tag. Tendência: Aumentou nos últimos 3 meses.","{""cluster"":""Core"",""product_name"":""Calça Wide Leg Feminino"",""first_sale_date"":""2022-05-27"",""skp_state"":""ativo_perene"",""num_colors"":15,""category_1"":""Woman"",""category_2"":""Woman Casual"",""category_3"":""Woman Casual Bottoms"",""category_4"":""Woman Casual Bottoms Pants"",""revenue_after_discounts"":6618631.57,""qt_sold"":27279.999999999982,""mc3_ratio"":0.25311123964990562,""num_products_cat4"":10,""pctl_category_relevance_company"":92.3076923076923,""viabilidade_financeira_raw"":-0.032515482147111953,""pctl_revenue_company"":90.686274509803923,""pctl_revenue_cat4"":71.428571428571431,""pctl_volume_company"":84.313725490196077,""pctl_viabilidade_company"":45.588235294117645,""manual_classification"":null,""aging"":62.219303824910369,""is_hero"":false,""is_core"":true,""processed_at"":""2026-06-12""}"
Core T-shirt Masculino,T-shirt,male,Hero,Priorizar melhoria,0.812695652173913,0.7052173913043478,0.973913043478261,61159,30,108152,13981701.92,7474,8429.0,5183,2167,7063,41,1487366.1249999995,862126.6336666668,0.07793660773725868,0.05496738950982482,0.022969218227433856,1.4178699121836296,0.039860816,0.036188375498229265,0.0492382643643246,tamanho_pequeno,0.06168049237356168,tecido_grosso,0.0280974043350281,caimento_ruim,0.027963607171527963,0.11774150388011774,Preto,0.3415841584158416,M,0.2792346802247792,1267,1670,Estável,"Não gostei do tecido || Produto ficou pequeno.
Desejo trocar  pelo tamanho M na mesma cor || O produto ficou pequeno. Desejo um tamanho maior. || A camisa ficou apertada || O tamanho da tech t-shirt não bate com o da encorpada. O da encorpada fica muito mais justo. || Achei que seria um tom de verde diferente  || Quero trocar por uma peça tamanho G || A camisa ficou pequena. Gostaria do reembolso por cupom com vistas a adquirir a peça de tamanho G. || Ficou folgado || Camiseta Premium Encorpada Core T-Shirt - Wine / GG, pois a que comprei ficou pequena","Top problemas: tamanho_pequeno, tecido_grosso, caimento_ruim. Top 3 concentram 11.8% das reversas com tag. Tendência: Estável.","{""cluster"":""Hero"",""product_name"":""Core T-shirt Masculino"",""first_sale_date"":""2024-10-27"",""skp_state"":""ativo_perene"",""num_colors"":8,""category_1"":""Man"",""category_2"":""Man Casual"",""category_3"":""Man Casual Top"",""category_4"":""Man Casual Top T-Shirt"",""revenue_after_discounts"":17163926.6,""qt_sold"":140093.00000000009,""mc3_ratio"":0.18872731617068664,""num_products_cat4"":48,""pctl_category_relevance_company"":100,""viabilidade_financeira_raw"":-0.036779316112498954,""pctl_revenue_company"":98.0392156862745,""pctl_revenue_cat4"":88.235294117647058,""pctl_volume_company"":98.0392156862745,""pctl_viabilidade_company"":45.098039215686278,""manual_classification"":null,""aging"":85.634805068379762,""is_hero"":true,""is_core"":false,""processed_at"":""2026-06-12""}"
Camisa FutureForm Feminino,Camisa Social,female,Core,Priorizar melhoria,0.8118260869565217,0.7895652173913043,0.8452173913043477,20427,20,21768,7947348.67,3013,3023.0,1886,1095,2771,6,907215.1700000002,702244.9400000002,0.13887357589121646,0.14211198915056203,-0.0032384132593455683,0.9772122445213641,0.022657314,0.007283716970980237,0.017658948057106806,tamanho_grande,0.10587454364420842,cor_diferente_site,0.05542648523066711,caimento_ruim,0.03484898771988052,0.19615001659475606,Off White,0.5423166279455692,M,0.3730501161632924,1169,528,Aumentou nos últimos 3 meses,"Rápida e eficiente  || A camisa é bonita, mas pra quem é muito baixa (tenho 1,56 m) ela fica muito comprida. Os punhos ficam apertados. || Mesmo usando a indicação do provador virtual e as medidas da peça, a camisa ainda ficou muito grande, como se fosse de outra pessoa  || A cor não agradou. Não combina com um off white. || Me desculpe, mas não gostei do tecido. Tecido gelado para ambiente frio.  || Achei esse marrom muito escuro. Não gostei da cor e já estou pedindo outra peça em outra cor || Como comprei no intuito de usar na praia, achei o material pesado, não gostei!  || Mangas ficaram justas , sobra de tecido no ombro e axila, sobra de tecido costas. 
 || Optei por estorno pq não consegui contato para tirar dúvidas sobre a troca por um tamanho menor!  || Não ficou como eu pensava","Top problemas: tamanho_grande, cor_diferente_site, caimento_ruim. Top 3 concentram 19.6% das reversas com tag. Há concentração relevante na cor Off White. Tendência: Aumentou nos últimos 3 meses.","{""cluster"":""Core"",""product_name"":""Camisa FutureForm Feminino"",""first_sale_date"":""2024-08-20"",""skp_state"":""ativo_perene"",""num_colors"":7,""category_1"":""Woman"",""category_2"":""Woman Casual"",""category_3"":""Woman Casual Top"",""category_4"":""Woman Casual Top Blouses"",""revenue_after_discounts"":8240853.34,""qt_sold"":25429.000000000033,""mc3_ratio"":0.26436902992576827,""num_products_cat4"":5,""pctl_category_relevance_company"":67.3076923076923,""viabilidade_financeira_raw"":-0.17388696191417069,""pctl_revenue_company"":94.117647058823522,""pctl_revenue_cat4"":100,""pctl_volume_company"":82.35294117647058,""pctl_viabilidade_company"":21.568627450980394,""manual_classification"":null,""aging"":65.111470538052984,""is_hero"":false,""is_core"":true,""processed_at"":""2026-06-12""}"
Shorts Kyoto Feminino,Shorts,female,Core,Priorizar melhoria,0.8076521739130434,0.8521739130434782,0.7408695652173913,14621,15,15785,3425742.12,2898,2906.0,1807,1026,2690,9,594201.62,508553.49000000005,0.18409882800126703,0.18409882800126703,0.0,1.0,0.009766542,0.005281765545154494,0.016975488936140384,caimento_ruim,0.10938578329882678,modelagem_ruim,0.0790200138026225,tamanho_grande,0.0748792270531401,0.2632850241545894,Preto,0.3968253968253968,M,0.3443754313319531,974,871,Estável,"Tenho o mesmo modelo na cor preta tamanho P e fica perfeito. O Urban Brown é 2 cm mais estreito. Comparei ambos. Há um problema na modelagem || Ficou mais justo do que gostaria, os bolsos saltaram um pouco na região do quadril || O mesmo em tamanho menor || Detestei a cor. Não é marrom, é um verde cor de vômito. || Adorei o modelo e tecido. Ótimo para viagens e dia a dia também.  Não amarrota,fácil secagem,além de ser muito cômodo.  || Usei como base os outros produtos que já tenho e comprei da mesma marca sempre tamanho P mas esse ficou muito justo no quadril.  || comprei o M e o G. De acordo com o site, o ideal seria o G, mas foi justamente esse que ficou grande.  || Não se ajustou bem ao corpo. || Ficou muito grande o short. || Não gostei do jeito que vestiu","Top problemas: caimento_ruim, modelagem_ruim, tamanho_grande. Top 3 concentram 26.3% das reversas com tag. Tendência: Estável.","{""cluster"":""Core"",""product_name"":""Shorts Kyoto Feminino"",""first_sale_date"":""2024-07-16"",""skp_state"":""ativo_perene"",""num_colors"":3,""category_1"":""Woman"",""category_2"":""Woman Casual"",""category_3"":""Woman Casual Bottoms"",""category_4"":""Woman Casual Bottoms Bermudas/Shorts"",""revenue_after_discounts"":3046066.91,""qt_sold"":16377.999999999987,""mc3_ratio"":0.26566381528096206,""num_products_cat4"":2,""pctl_category_relevance_company"":55.769230769230774,""viabilidade_financeira_raw"":-0.011940385298080482,""pctl_revenue_company"":80.882352941176478,""pctl_revenue_cat4"":100,""pctl_volume_company"":73.529411764705884,""pctl_viabilidade_company"":48.03921568627451,""manual_classification"":null,""aging"":60.002047463987893,""is_hero"":false,""is_core"":true,""processed_at"":""2026-06-12""}"
Camisa FutureForm Masculino,Camisa Social,male,Core,Priorizar melhoria,0.8076521739130434,0.8382608695652174,0.7617391304347826,12622,20,14575,5173195.02,2189,2219.0,1597,550,2075,6,794962.19,455556.73000000004,0.15224699828473415,0.14211198915056203,0.010135009134172118,1.0713170591359078,0.014748403,0.004876891531240213,0.01296235717456831,tamanho_grande,0.1269986295111923,caimento_ruim,0.037003197807217905,modelagem_ruim,0.03380539058931019,0.19780721790772043,Preto,0.31064412973960714,G,0.3243490178163545,820,527,Aumentou nos últimos 3 meses,"Modelo ficou maior do que eu preciso, trocarei por um tamanho menor. || O corte não ficou legal no corpo || Não gostei do produto || Camisa maravilhosa mas o comprimento das mangas ficaram enormes e tamanho punho achei muito largo. || O resto tudo certo mais a camisa social veio no tamamho muito grande || Não gostei da cor. Vou comprar branca  || Achei o material da camisa muito grosso e quente. Moro em Goiânia, aqui é um sol pra cada cabeça.  || MUITO GRANDE. E EU PEDI PARA A ASSISTENTE VIRTUAL UMA CAMISA FEMININA E VEIO UMA MASCULINA || Camisa ficou grande, quero o mesmo produto, tamanho P || Achei a camisa amarelada e na off white","Top problemas: tamanho_grande, caimento_ruim, modelagem_ruim. Top 3 concentram 19.8% das reversas com tag. Tendência: Aumentou nos últimos 3 meses.","{""cluster"":""Core"",""product_name"":""Camisa FutureForm Masculino"",""first_sale_date"":""2024-08-20"",""skp_state"":""ativo_perene"",""num_colors"":7,""category_1"":""Man"",""category_2"":""Man Casual"",""category_3"":""Man Casual Top"",""category_4"":""Man Casual Top Blouses"",""revenue_after_discounts"":6599979.11,""qt_sold"":20921.000000000651,""mc3_ratio"":0.309045319719055,""num_products_cat4"":1,""pctl_category_relevance_company"":63.46153846153846,""viabilidade_financeira_raw"":-0.19645851530920722,""pctl_revenue_company"":90.196078431372555,""pctl_revenue_cat4"":50,""pctl_volume_company"":78.431372549019613,""pctl_viabilidade_company"":18.137254901960784,""manual_classification"":null,""aging"":84.884941545207226,""is_hero"":false,""is_core"":true,""processed_at"":""2026-06-12""}"
The Perfect Top Feminino,Regata,female,Long tail,Alerta em produto relevante,0.7779130434782608,0.6356521739130435,0.991304347826087,194766,18,313698,32806350.49,23167,23507.0,14979,7847,21711,63,3796174.168333331,2719987.979999999,0.07493512869065151,0.07655261258789639,-0.0016174838972448785,0.9788709510679637,0.093528522,0.10496542844370445,0.1373168680047667,tamanho_pequeno,0.05814304830146329,caimento_ruim,0.057150256830836965,modelagem_ruim,0.046229550653947425,0.16152285578624767,Preto,0.4022532049898563,M,0.3761816376742781,6236,5555,Estável,"O mesmo produto porém tamanho menor || Ficou grande. || Eu comprei 3 blusas P e essa que é a PRETA veio com uma modelagem completamente diferente no corpo, muito larga com as alças maiores, ficou muito estranha no corpo. As outras serviram bem. || Não ficou como esperado no meu corpo,mais questão pessoal mesmo.  || Alças e bojo muito grandes  || Ficou muito apertada || Não gostei do corte, na imagem parece que as alças ficam mais espacadas || Vi muitas propagandas de que o perfect top seria perfeito para usar sem sutiã, mas o bojo marca completamente o tecido do top; esperava mais do produto. Não dá para usar sem sutiã (com ou sem o bojo). || Duplicidade  || A costura do lado direito da peça está defeituosa.","Top problemas: tamanho_pequeno, caimento_ruim, modelagem_ruim. Top 3 concentram 16.2% das reversas com tag. Tendência: Estável.","{""cluster"":""Long tail"",""product_name"":""The Perfect Top Feminino"",""first_sale_date"":""2022-11-13"",""skp_state"":""ativo_perene"",""num_colors"":15,""category_1"":""Woman"",""category_2"":""Woman Casual"",""category_3"":""Woman Casual Top"",""category_4"":""Woman Casual Top Tank Top"",""revenue_after_discounts"":43816318.35,""qt_sold"":436730.99999999895,""mc3_ratio"":0.026552966591982266,""num_products_cat4"":16,""pctl_category_relevance_company"":94.230769230769226,""viabilidade_financeira_raw"":-0.19967929412089166,""pctl_revenue_company"":99.509803921568633,""pctl_revenue_cat4"":100,""pctl_volume_company"":99.019607843137265,""pctl_viabilidade_company"":17.156862745098039,""manual_classification"":""Perene - Papel Definido"",""aging"":29.263456642777584,""is_hero"":false,""is_core"":false,""processed_at"":""2026-06-12""}"
