order_name,id_reversa,reverse_type,data_compra,data_entrega,data_reversa,dias_compra_ate_reversa,mes_compra,tipo,bucket
IN-2701995,37ba2a2f-c251-452b-9b0c-fa12b4e2def0,Sem Reembolso,2025-08-12,2025-08-19,2025-10-15,64,2025-08,Sem reembolso,61d+
IN-3255245-SN,ea9729a2-1e80-4f58-b74d-c02cb9e2b571,Troca,2025-11-28,2025-12-06,2026-01-12,45,2025-11,Troca,31–60d
IN-3302182-SN,a0daaf7a-cd39-441e-8cc3-bde7140d1509,Troca,2025-11-30,2025-12-10,2026-05-06,157,2025-11,Troca,61d+
IN-3366749-ENTR-0126,863f0dab-b7a7-4585-9cd8-99a2a333e4d9,Troca,2025-12-10,2026-02-06,2026-02-10,62,2025-12,Troca,61d+
IN-3469231,063f6c5d-3b2c-4c34-b22b-49dc3bd672fc,Troca,2025-12-30,2026-01-13,2026-02-02,34,2025-12,Troca,31–60d
IN-3475199-ENTR-0226,9104011e-ef5b-425e-9551-c1217fb89213,Troca,2026-01-02,2026-02-19,2026-03-09,66,2026-01,Troca,61d+
IN-3684218,c63a4e32-5fe0-4e38-80de-4cda42890740,Troca,2026-02-26,2026-03-04,2026-05-05,68,2026-02,Troca,61d+
IN-3489514,73ad514a-8a96-44b8-a71e-65bba3552b79,Sem Reembolso,2026-01-05,2026-01-08,2026-06-15,161,2026-01,Sem reembolso,61d+
IN-3946112,c045fd82-95c9-449d-9a60-a9a7e8660f7d,Troca,2026-04-30,2026-05-07,2026-06-18,49,2026-04,Troca,31–60d
IN-3373109,9e90c96b-f9e3-4948-8491-344c77762115,Troca,2025-12-11,2025-12-18,2026-02-06,57,2025-12,Troca,31–60d
IN-3403835-ENTR-0426,dc90e7ed-5d10-4449-93bf-b1be76d5a08a,Devolução,2025-12-15,2026-03-23,2026-03-23,98,2025-12,Devolução,61d+
IN-3653786,23c61e29-74cc-4d1c-867e-0a66a0c2005d,Troca,2026-02-18,2026-02-24,2026-03-23,33,2026-02,Troca,31–60d
IN-4044772-ENTR-0726,aac4a7d4-8ded-479f-982a-a5f3e6d7246a,Devolução,2026-06-04,2026-07-18,2026-07-21,47,2026-06,Devolução,31–60d
IN-2748285-SN,31bd2d05-5b96-4a55-9858-f23a3d915f1a,Troca,2025-08-24,2025-09-01,2025-09-28,35,2025-08,Troca,31–60d
IN-2973943-ENTR-1025,947a5b38-237f-4085-818d-a079948ef850,Troca,2025-10-13,2025-11-10,2025-11-11,29,2025-10,Troca,16–30d
IN-3342381-SN,a0a4eaee-8d7b-46e8-8de9-12c5563c88b5,Troca,2025-12-06,2025-12-18,2026-04-08,123,2025-12,Troca,61d+
IN-3562724,f972e3e9-472e-4155-ac4a-a208098e0a63,Troca,2026-01-22,2026-01-24,2026-07-05,164,2026-01,Troca,61d+
IN-2710422,c2e3a400-a073-43d7-81d7-58c3b042aaa6,Troca,2025-08-14,2025-08-22,2025-11-20,98,2025-08,Troca,61d+
IN-3434598-ENTR-0226,329b81bd-2652-4f02-aa02-d2acf9041853,Devolução,2025-12-21,2026-03-11,2026-04-02,102,2025-12,Devolução,61d+
IN-3263031,f5fd2070-3587-419e-9667-75a63393f84f,Troca,2025-11-28,2025-12-05,2026-01-05,38,2025-11,Troca,31–60d
IN-3278468-SN,5f81bc64-b9b6-4154-aadd-18c79cb3d50a,Troca,2025-11-29,2025-12-04,2026-01-06,38,2025-11,Troca,31–60d
IN-3302805,d183f22c-03ec-4e1b-87d2-ea9560e4fd95,Troca,2025-11-30,2025-12-15,2025-12-30,30,2025-11,Troca,16–30d
IN-3442763,c483410b-48b7-4ea1-a501-1efdc6a8e4ff,Troca,2025-12-23,2026-01-13,2026-01-30,38,2025-12,Troca,31–60d
IN-3443734,4daa6d40-d351-47e9-8f5d-371d54517d3c,Troca,2025-12-23,2025-12-31,2026-02-01,40,2025-12,Troca,31–60d
IN-3180701,d9ec29d7-a078-4582-b2fa-493397f4388c,Troca,2025-11-21,2025-11-24,2026-02-19,90,2025-11,Troca,61d+
IN-3138161,1ddcfa27-56f5-4e53-b3ae-02a97e2d52e6,Troca,2025-11-14,2025-11-21,2026-01-07,54,2025-11,Troca,31–60d
IN-3380728,3f35916d-2d18-4a38-87bf-0d3a00c11c48,Troca,2025-12-12,2025-12-30,2026-01-19,38,2025-12,Troca,31–60d
IN-2687367,e5d06442-88c3-4c44-a994-8bea8214c1c5,Troca,2025-08-09,2025-08-14,2025-10-03,55,2025-08,Troca,31–60d
IN-2745098-ENTR-0925,465eff3c-4a6c-494b-bed1-75c01017948c,Troca,2025-08-24,2025-09-23,2025-09-26,33,2025-08,Troca,31–60d
IN-2977976,85742a39-a57a-4d00-9477-ebb3e25da7a0,Troca,2025-10-14,,2026-03-05,142,2025-10,Troca,61d+
IN-3065220,dcac41d1-14a8-4495-8521-95ee330649f2,Troca,2025-11-04,2025-11-10,2026-03-24,140,2025-11,Troca,61d+
IN-3348210,014b6ebc-adf6-4f4c-a75f-7f5ae3e78d7c,Troca,2025-12-07,2025-12-12,2026-01-08,32,2025-12,Troca,31–60d
IN-3666209,d8e3a843-0dac-4d46-bf2e-f7498229f34d,Troca,2026-02-21,2026-02-25,2026-03-24,31,2026-02,Troca,31–60d
IN-3933509,e3068e40-1101-4e3c-8fb3-f2e5beb94a51,Troca,2026-04-26,2026-05-04,2026-06-02,37,2026-04,Troca,31–60d
IN-3963313-ENTR-0626,205cda02-36df-4bc6-b697-a9de52e70225,Devolução,2026-05-06,2026-06-24,2026-07-02,57,2026-05,Devolução,31–60d
IN-3635698,c60a84ae-06c4-4370-be4f-433172531b4a,Troca,2026-02-12,2026-02-18,2026-04-29,76,2026-02,Troca,61d+
IN-3690555,5401f437-08e2-49f1-bafb-7c66a9ce5ad1,Troca,2026-02-28,2026-03-09,2026-05-11,72,2026-02,Troca,61d+
IN-3439824-ENTR-0226,2ab5c170-ec8e-4e43-ba04-5b2d95b3e9e2,Troca,2025-12-22,2026-03-02,2026-03-02,70,2025-12,Troca,61d+
IN-3279497,89a7c051-c01c-4b46-9ca3-10cdf69def39,Troca,2025-11-29,2025-12-07,2026-01-13,45,2025-11,Troca,31–60d
IN-3963913-SN,5e1dd9d2-73f8-4208-8032-6134b193ca3e,Troca,2026-05-06,2026-05-11,2026-06-09,34,2026-05,Troca,31–60d
IN-2824321-ENTR-1225,28f6ee98-89f3-4de8-986a-ae36f4927182,Troca,2025-09-11,2025-10-08,2025-10-13,32,2025-09,Troca,31–60d
IN-3194382,76036753-674c-47c2-b56f-9d8c8e6465d0,Troca,2025-11-23,2025-12-05,2026-02-02,71,2025-11,Troca,61d+
IN-3280754-ENTR-0126,46d7c253-367a-49b0-b414-2e2bc40405e9,Troca,2025-11-29,2026-03-18,2026-03-18,109,2025-11,Troca,61d+
IN-3306100-SN,7efc05c3-6ea4-4943-b208-b5edf4d6ece2,Troca,2025-12-01,2025-12-15,2026-03-20,109,2025-12,Troca,61d+
IN-3315793-ENTR-0126,eec0f10c-baa4-45a7-a3aa-84ccf47bfd9b,Troca,2025-12-02,2025-12-10,2026-03-24,112,2025-12,Troca,61d+
IN-3513273,98fb116a-ca3e-41ac-ac6e-84c070f836d4,Sem Reembolso,2026-01-08,2026-01-14,2026-03-17,68,2026-01,Sem reembolso,61d+
IN-3636468-SN,02b422ac-ed39-4880-91e3-0f5698e85094,Troca,2026-02-12,2026-02-19,2026-03-13,29,2026-02,Troca,16–30d
IN-2677132-ENTR-0925,82dcfe76-3582-4835-9447-22686177cb95,Troca,2025-08-07,2025-10-22,2025-10-22,76,2025-08,Troca,61d+
IN-3267449,61b650b2-46b1-4271-8075-a52b0fbe982b,Troca,2025-11-28,2025-12-09,2025-12-28,30,2025-11,Troca,16–30d
IN-3411157,7b79afce-5a34-409c-89f0-27d071b1d1e7,Troca,2025-12-16,2025-12-22,2026-03-03,77,2025-12,Troca,61d+
IN-3516619,ee750e27-89d7-4bbd-a091-47a551008850,Troca,2026-01-09,2026-01-16,2026-02-11,33,2026-01,Troca,31–60d
IN-2737975,cb66dae7-d914-4c8f-adec-6215f128f716,Troca,2025-08-21,,2025-10-22,62,2025-08,Troca,61d+
IN-2794075,ba9a6451-0602-42b2-b0a0-2ffbe8a742d5,Troca,2025-09-04,2025-09-10,2025-11-20,77,2025-09,Troca,61d+
IN-3374969,719528b2-62b6-468c-b801-3dcb7cd71569,Troca,2025-12-11,2025-12-17,2026-03-04,83,2025-12,Troca,61d+
IN-3245499,520f4869-ad89-41c7-b72c-95dcdb9c8c8f,Troca,2025-11-28,2025-12-02,2026-02-02,66,2025-11,Troca,61d+
IN-3413849-SN,379ab61c-c11b-409e-810c-b791c2490d15,Devolução,2025-12-17,2025-12-20,2026-05-29,163,2025-12,Devolução,61d+
IN-3434598-SN,01807737-2281-4619-add1-71ce64cd2694,Troca,2025-12-21,2025-12-29,2026-03-24,93,2025-12,Troca,61d+
IN-2690608,2c4b25ba-6b7a-4af4-aea8-376ef67bdf00,Troca,2025-08-09,2025-08-22,2025-09-15,37,2025-08,Troca,31–60d
IN-3488914,2a1d43d0-ef8e-4e0e-9ed6-9da7127dc7ae,Troca,2026-01-05,2026-01-07,2026-03-11,65,2026-01,Troca,61d+
IN-3879774,33da5986-b6c9-4bf7-8d40-94c879ce0ece,Troca,2026-04-09,2026-04-17,2026-06-01,53,2026-04,Troca,31–60d
IN-3966102,8574c5e0-7c32-4c06-bf87-0072ba3a1431,Troca,2026-05-07,2026-05-13,2026-06-23,47,2026-05,Troca,31–60d
IN-2968333-SN,23c00a8c-fbf4-41d1-8a8b-e9f68d23f230,Troca,2025-10-11,2025-10-17,2026-02-24,136,2025-10,Troca,61d+
IN-3308644,d36534db-84dc-4a4e-97ed-0c5e24144f37,Troca,2025-12-01,2025-12-09,2026-01-05,35,2025-12,Troca,31–60d
IN-3417677,5ccfe112-997e-48ea-96fb-ea14053bcfd2,Troca,2025-12-17,2025-12-26,2026-01-16,30,2025-12,Troca,16–30d
IN-3079709-ENTR-0126,11ee178e-e63d-4bb9-b8ce-94787459883b,Troca,2025-11-06,2026-02-24,2026-02-24,110,2025-11,Troca,61d+
IN-3294716,385ef7cf-2119-4c07-ab5e-12a4bfc43a91,Troca,2025-11-30,2025-12-22,2026-01-11,42,2025-11,Troca,31–60d
IN-3595348-ENTR-0326,f02e85b8-7a79-49c4-8836-b2728b9a4d99,Troca,2026-02-01,2026-03-06,2026-03-10,37,2026-02,Troca,31–60d
IN-3778411,753fd08f-8aa3-4d55-88d3-a19d31020545,Troca,2026-03-17,2026-03-28,2026-04-16,30,2026-03,Troca,16–30d
IN-3381946,ade44287-2c66-460c-93e8-42c7580dc56b,Sem Reembolso,2025-12-12,2025-12-18,2026-02-02,52,2025-12,Sem reembolso,31–60d
